10 grootste onderliggende beleggingen %

# BND Emerging Markets Indexfonds-C

Alibaba Group Holding Ltd. Sponsored, 9.3%
Tencent Holdings Ltd., 6.4%
Taiwan Semiconductor Manufacturing Co.., 6.2%
Samsung Electronics Co.. Ltd., 4.0%
Meituan Dianping Class B, 1.9%
Reliance Industries Limited, 1.5%
Naspers Limited Class N, 1.3%
JD.com. Inc. Sponsored ADR Class A, 1.1%
China Construction Bank Corporation, 1.0%
Ping An Insurance (Group) Co. of China., 1.0%
Totaal, 33.7%

# BND Small Cap Wereld Indexfonds-C

Immunomedics. Inc., 0.3%
Etsy. Inc., 0.3%
Horizon Therapeutics Public Limited, 0.3%
Pool Corporation, 0.3%
Generac Holdings Inc., 0.3%
HubSpot. Inc., 0.2%
Monolithic Power Systems. Inc., 0.2%
Zendesk. Inc., 0.2%
SolarEdge Technologies. Inc., 0.2%
Penn National Gaming. Inc., 0.2%
Totaal, 2.5%

# BND Vastgoed Wereld Indexfonds-C

Prologis. Inc., 4.9%
Digital Realty Trust. Inc., 3.0%
Public Storage, 2.4%
Vonovia SE, 2.2%
Equity Residential, 1.9%
AvalonBay Communities. Inc., 1.7%
Welltower. Inc., 1.6%
Sun Hung Kai Properties Limited, 1.6%
Link Real Estate Investment Trust, 1.5%
Mitsubishi Estate Company. Limited, 1.4%
Totaal, 22.2%

BND Wereld Indexfonds C-Hedged

Apple Inc., 4.1%
Microsoft Corp., 3.4%
Amazon.com Inc., 2.9%
Alphabet Inc., 1.9%
Facebook Inc., 1.4%
Berkshire Hathaway Inc., 0.9%
Johnson & Johnson, 0.8%
Procter & Gamble Co., 0.7%
Visa Inc., 0.7%
Nestle SA, 0.7%
Totaal, 17.5%

BND Wereld Indexfonds C-Unhedged

Apple Inc., 4.1%
Microsoft Corp., 3.4%
Amazon.com Inc., 2.9%
Alphabet Inc., 1.9%
Facebook Inc., 1.4%
Berkshire Hathaway Inc., 0.9%
Johnson & Johnson, 0.8%
Procter & Gamble Co., 0.7%
Visa Inc., 0.7%
Nestle SA, 0.7%
Totaal, 17.5%
